品牌车型,,,,,,,,购买年份,里程,销售方式,特点,原价/万,是否有补贴,现价/万
雪佛兰, 迈锐宝, 2017款, 1.5T, 自动豪华版,,,,2017, 1.3万公里, 到店服务,严选车,11.5,0,10.83
马自达3星骋, 2011款, 三厢, 1.6L, 手动舒适型,,,,2012, 10.4万公里, 到店服务,严选车,21,0,3.6
福特, 福克斯, 2012款, 三厢, 1.6L, 自动风尚型,,,2014, 6.3万公里, 到店服务,严选车,7,1,4.92
现代, 瑞纳, 2010款, 三厢, 1.4L, 手动舒适型GS,,,2012, 12.6万公里, 到店服务,急售,17,0,2.81
大众, 宝来, 2014款, 1.6L, 自动舒适型,,,,2014, 6.4万公里, 到店服务,超值严选车,8.5,0,6.27
大众, 朗逸, 2013款, 改款经典, 1.6L, 手动风尚版,,,2016, 2.9万公里, 到店服务,急售,13.4,0,6.3
荣威350, 2014款, 1.5L, 手动迅捷版,,,,,2015, 4.5万公里, 到店服务,,8,0,3.5
别克, 英朗, 2013款, XT, 1.6L, 手动进取版,,,2013, 5.0万公里, 到店服务,,15.9,0,4.2
大众, 速腾, 2018款, 280TSI, DSG熠动版,,,,2018, 2.2万公里, 店内直卖,急售准新车,9.8,0,11.51
东南DX3, 2016款, 1.5T, SRG, 手动旗舰型,,,,2017, 4.6万公里, 到店服务,急售,11.3,0,5.43
福特, 福克斯, 2012款, 两厢, 1.6L, 手动舒适型,,,2015, 3.3万公里, 到店服务,急售,15,0,4.92
荣威350, 2012款, 1.5L, 自动新禧超值版,,,,,2013, 8.1万公里, 到店服务,急售,19.2,0,3.53
比亚迪S6, 2013款, 白金版, 2.0L, 手动尊贵型,,,,2013, 1.4万公里, 到店服务,,10.7,0,3.85
雪佛兰, 科鲁兹, 2013款, 1.6L, SE, MT,,,2012, 5.0万公里, 到店服务,,11.3,0,3.66
雪佛兰, 迈锐宝, 2014款, 2.0L, 自动豪华版,,,,2014, 6.1万公里, 到店服务,急售,13.4,1,7.75
雷诺, 科雷傲, 2012款, 2.5L, 四驱舒适导航版(进口),,,,2011, 8.4万公里, 到店服务,急售,10,0,6.42
哈弗H6, 2016款, 升级版, 1.5T, 手动两驱精英型,,,,2016, 2.8万公里, 到店服务,,9.1,1,5.83
福特, 翼搏, 2013款, 1.5L, 手动风尚型,,,,2013, 7.8万公里, 到店服务,,9.7,0,3.49
奇瑞, 瑞虎, 2012款, 精英版, 1.6L, 手动舒适型DVVT,,,2013, 4.5万公里, 到店服务,急售,11.6,0,2.66
大众, 凌渡, 2017款, 280TSI, DSG舒适版,,,,2016, 6.1万公里, 到店服务,超值,21.7,0,11.55
长城M4, 2012款, 1.5L, 手动舒适型,,,,,2013, 2.7万公里, 到店服务,急售,8.1,0,2.88
起亚K2, 2011款, 三厢, 1.4L, AT, GLS,,,2014, 8.4万公里, 到店服务,急售,10,0,3.92
别克, 英朗, 2013款, GT, 1.6L, 自动舒适版,,,2014, 2.9万公里, 到店服务,超值急售,8.5,1,6.01
雪佛兰, 2016款, 赛欧3, 1.3L, 手动舒适天窗版,,,,2017, 1.5万公里, 到店服务,,22.8,0,4.13
马自达3, 2010款, 1.6L, 手动经典时尚型,,,,,2011, 8.5万公里, 到店服务,超值,15.8,0,3.09
福特, 翼虎, 2013款, 1.6L, GTDi, 四驱精英型,,,2014, 7.1万公里, 到店服务,超值急售,13,0,10.64
大众, 捷达, 2015款, 质惠版, 1.6L, 手动舒适型,,,2016, 4.3万公里, 到店服务,,14.8,0,5.17
别克, 凯越, 2011款, 1.6LE-MT,,,,,2012, 8.4万公里, 到店服务,急售,43.2,1,2.61
福特, 福睿斯, 2015款, 1.5L, 自动时尚型,,,,2016, 3.0万公里, 到店服务,超值,9.5,0,6.33
长安, 逸动, 2015款, 1.6L, 手动豪华型, 国V,,,2015, 4.9万公里, 到店服务,超值急售,13,0,3.84
奇瑞, 艾瑞泽7, 2013款, 1.6L, 手动致尚版,,,,2014, 9.1万公里, 到店服务,急售,13.3,0,3.06
纳智捷, 纳5, 2015款, 1.8T, 手动智慧型,,,,2015, 2.5万公里, 到店服务,超值急售,16,0,3.84
荣威350, 2014款, 1.5L, 手动迅驰版,,,,,2014, 6.8万公里, 到店服务,超值,11.1,0,2.89
福特, 福睿斯, 2015款, 1.5L, 自动舒适型,,,,2016, 2.9万公里, 到店服务,,10.8,0,6.22
斯柯达, 晶锐, 2012款, 1.4L, 手动晶致版,,,,2013, 5.8万公里, 到店服务,,16.3,1,2.62
雪佛兰, 科鲁兹, 2013款, 1.8L, SE, AT,,,2014, 5.9万公里, 到店服务,超值急售,22.7,0,5.15
海马, 普力马, 2010款, 1.6L, 手动5座基本,,,,2011, 1.7万公里, 到店服务,急售,97.5,0,2.65
吉利, 帝豪GS, 2016款, 运动版, 1.3T, 手动领尚型,,,2017, 3.7万公里, 到店服务,,13,1,5.23
福特, 福睿斯, 2015款, 1.5L, 自动时尚型,,,,2016, 3.9万公里, 到店服务,急售,9.5,1,6.25
东南, V5菱致, 2015款, 1.5L, 手动爵士版,,,,2015, 7.3万公里, 到店服务,,16,0,3.09
MG6, 2012款, 掀背, 1.8T, 手动性能版,,,,2012, 7.6万公里, 到店服务,急售,11.1,0,3.41
MG6, 2011款, 三厢, 1.8L, 手动舒适版,,,,2011, 5.3万公里, 到店服务,急售,46.6,0,2.97
大众, 迈腾, 2013款, 1.8TSI, 豪华型,,,,2013, 10.8万公里, 到店服务,,13,0,9.66
宝骏630, 2013款, 1.5L, 手动精英型,,,,,2014, 6.5万公里, 到店服务,,11.3,0,2.62
MG3, 2014款, 1.3L, 手动舒适版,,,,,2015, 4.6万公里, 到店服务,,13.7,0,2.9
福特, 福克斯, 2012款, 三厢经典, 1.8L, 手动时尚型,,,2012, 7.4万公里, 到店服务,急售,8,0,3.19
别克, 昂科拉, 2013款, 1.4T, 自动两驱精英型,,,,2013, 4.8万公里, 到店服务,,9.3,0,5.67
东风风行, 景逸X5, 2013款, 1.6L, 手动尊享型, 国IV,,,2014, 2.1万公里, 到店服务,急售,20.5,0,3.16
现代ix35, 2010款, 2.0L, 自动两驱精英版GLS,,,,,2011, 9.3万公里, 到店服务,准新车,6.3,0,5.44
雪佛兰, 迈锐宝, 2014款, 2.0L, 自动豪华版,,,,2015, 3.5万公里, 到店服务,急售,12.6,1,8.38
吉利, 经典帝豪, 2013款, 三厢, 1.5L, 手动进取型,,,2014, 2.7万公里, 到店服务,急售,14.2,0,2.9
现代, 瑞纳, 2010款, 三厢, 1.4L, 手动舒适型GS,,,2012, 7.4万公里, 到店服务,,11.9,0,2.74
雪佛兰, 爱唯欧, 2014款, 三厢, 1.4SL, AT, 时尚版,,2014, 2.5万公里, 到店服务,急售,30,1,3.72
奥迪Q3, 2012款,35, TFSI, quattro, 舒适型(进口),,,2014, 5.1万公里, 到店服务,,46.4,1,14.41
吉利, 经典帝豪, 2013款, 三厢, 1.5L, 手动进取型,,,2013, 4.7万公里, 到店服务,急售,13,0,2.67
海马, 福美来, 2014款, M5, 1.6L, 手动精英型,,,2015, 6.3万公里, 到店服务,,17.1,0,3.23
本田, 缤智, 2015款, 1.8L, CVT两驱豪华型,,,,2016, 3.9万公里, 到店服务,,34.6,0,10.77
标致308, 2014款, 乐享版, 经典, 1.6L, 手动优尚型,,,2015, 2.2万公里, 到店服务,超值,13.9,0,4.58
雪佛兰, 创酷, 2014款, 1.4T, 自动两驱豪华型,,,,2014, 8.7万公里, 到店服务,急售,11.5,1,5.63
别克, 君威, 2015款, 2.0L, 精英时尚型,,,,2015, 6.0万公里, 到店服务,超值急售,32.5,0,9.75
雪佛兰, 创酷, 2014款, 1.4T, 自动两驱豪华型,,,,2014, 9.5万公里, 到店服务,急售,11.9,1,5.61
大众, 捷达, 2015款, 1.6L, 手动舒适型,,,,2015, 2.4万公里, 到店服务,,13,1,5.12
长城M4, 2014款, 1.5L, 手动舒适型,,,,,2014, 4.2万公里, 到店服务,,22.7,0,3.03
DS, 5LS, 2014款, 1.8L, 自动舒适版VTi140,,,,2015, 10.7万公里,,急售,23.3,0,5.94
起亚K2, 2012款, 三厢, 1.4L, MT, GLS纪念版,,,2013, 6.7万公里, 到店服务,,9,0,2.95
福特, 福克斯, 2013款, 两厢经典, 1.8L, 自动时尚型,,,2014, 1.9万公里, 到店服务,,17.3,0,4.8
本田, 飞度, 2014款, 1.5L, LX, 手动舒适型,,,2015, 5.2万公里, 到店服务,,8.9,0,4.7
DS, 5LS, 2014款, 1.8L, 手动舒适版VTi140,,,,2014, 6.7万公里,,准新车,13.4,0,5
大众POLO, 2018款, 1.5L, 自动安驾型,,,,,2018, 0.7万公里,,准新车,6.8,0,7.15
大众POLO, 2016款, 1.6L, 自动舒适型,,,,,2017, 1.1万公里,,急售,14.6,0,7.1
大众, 朗逸, 2013款, 改款经典, 1.6L, 自动舒适版,,,2014, 7.5万公里, 到店服务,急售,11.5,0,6.67
雪铁龙C5, 2013款, 2.0L, 手动舒适型,,,,,2014, 5.7万公里, 到店服务,超值,15,0,6.1
福特, 嘉年华, 2013款, 三厢, 1.5L, 自动时尚型,,,2015, 4.8万公里, 到店服务,,15.6,0,4.65
哈弗H2, 2014款, 1.5T, 手动两驱精英版,,,,,2015, 8.3万公里,,,22.7,0,6
福特, 福克斯, 2013款, 两厢经典, 1.8L, 自动时尚型,,,2014, 3.4万公里, 到店服务,急售,14.6,0,5.25
大众POLO, 2014款, 1.6L, 手动舒适版,,,,,2015, 5.1万公里, 到店服务,,21,0,4.8
丰田, 威驰, 2014款, 1.3L, 自动型尚版,,,,2014, 4.3万公里, 到店服务,急售,13.6,0,5
荣威350, 2013款, 350S, 1.5L, 手动迅驰版,,,,2013, 4.8万公里, 到店服务,,14.6,0,2.5
起亚K3, 2016款, 1.6L, 自动GL,,,,,2016, 5.2万公里, 到店服务,超值急售,34,0,6.15
日产, 天籁, 2011款, 2.0L, XL舒适版,,,,2012, 12.2万公里,,,27.8,0,6.8
海马M3, 2016款, 1.5L, CVT智能舒适型,,,,,2016, 3.4万公里,,超值准新车,15.2,0,3.88
大众POLO, 2014款, 1.6L, 手动舒适版,,,,,2015, 7.6万公里, 到店服务,急售,13.2,0,5
长安CS35, 2017款, 1.6L, 自动豪华型,,,,,2017, 1.7万公里,,急售,16.8,0,5.2
比亚迪, 秦, 2014款, 1.5T, 旗舰型,,,,2014, 0.5万公里, 到店服务,准新车,10.5,0,6.98
奔腾X80, 2013款, 2.0L, 自动豪华型,,,,,2013, 11.5万公里, 到店服务,,32.8,0,4.8
荣威RX5, 2018款, 20T, 两驱手动旗舰版,,,,,2017, 2.5万公里, 到店服务,急售,108.3,0,7.3
福特, 福克斯, 2015款, 三厢, 1.6L, 自动风尚型,,,2015, 2.2万公里, 到店服务,急售,24.6,0,6.8
奔驰GLK级, 2015款, GLK,260, 4MATIC, 动感型, 极致版,,2015, 1.5万公里, 到店服务,,10.7,0,23.2
吉利, 帝豪, 2014款, 三厢, 1.5L, CVT精英型,,,2015, 7.6万公里,,急售,12.6,0,3.8
福特, 福克斯, 2012款, 三厢, 1.6L, 手动舒适型,,,2013, 12.5万公里, 到店服务,,22.4,0,3.6
菲亚特, 菲翔, 2012款, 1.4T, 自动悦享版,,,,2014, 3.0万公里, 到店服务,,26.5,0,4.7
马自达6, 2013款, 2.0L, 自动时尚型,,,,,2014, 9.5万公里, 到店服务,,18.2,0,6.28
别克, 凯越, 2013款, 1.5L, 自动经典型,,,,2014, 7.1万公里, 到店服务,严选车,30.8,0,3.7
福特, 福克斯, 2013款, 两厢经典, 1.8L, 手动基本型,,,2014, 7.2万公里, 到店服务,准新车严选车,15.2,0,3.5
别克, 英朗, 2014款, XT, 1.6L, 自动时尚版,,,2014, 5.7万公里, 到店服务,严选车,16.2,0,5.6
别克GL8, 2014款, 2.4L, 经典版,,,,,2015, 4.1万公里, 到店服务,严选车,17.1,0,8.5
奥迪Q7, 2014款,35, TFSI, 运动型(进口),,,,2014, 8.3万公里, 到店服务,严选车,17.3,0,33.45
雪佛兰, 科鲁兹, 2013款, 1.6L, SE, MT,,,2014, 9.5万公里, 到店服务,严选车,22.6,0,3.8
奇瑞, 瑞虎3, 2015款, 1.6L, CVT智尚运动版,,,,2015, 11.6万公里, 到店服务,严选车,13.9,0,3.88
马自达6, 2013款, 2.0L, 自动时尚型,,,,,2014, 4.9万公里, 到店服务,,11.7,0,6.78
别克, 凯越, 2013款, 1.5L, 自动经典型,,,,2014, 6.8万公里, 到店服务,急售准新车,13.4,0,4.1
奔驰E级, 2015款, E,200, L,,,,2014, 8.8万公里, 到店服务,急售,10.8,0,23.8
别克, 英朗, 2015款, 15N, 自动进取型,,,,2016, 3.3万公里, 到店服务,急售,14.9,0,6.41
雪铁龙, 世嘉, 2016款, 经典, 三厢, 1.6L, 自动品尚型,,2015, 5.4万公里,,,28.2,0,6
马自达, 昂克赛拉, 2016款, 三厢, 1.5L, 自动舒适型,,,2016, 5.8万公里, 到店服务,急售,13,0,8.3
本田, 飞度, 2016款, 1.5L, LX, 手动舒适型,,,2016, 10.9万公里,,,40.1,0,4.85
大众POLO, 2013款, 1.4L, 手动风尚版,,,,,2013, 8.1万公里, 到店服务,严选车,16.6,0,3.2
起亚K5, 2011款, 2.0L, 自动DLX,,,,,2011, 10.4万公里, 到店服务,,22.6,0,6.97
吉利, 远景X1, 2017款, 1.3L, 自动玩家版,,,,2018, 0.1万公里, 到店服务,超值急售,46.4,0,5
标致308, 2013款, 1.6L, 自动优尚型,,,,,2015, 5.7万公里, 到店服务,超值急售,11.9,0,5
福特, 福克斯, 2012款, 两厢, 1.6L, 自动舒适型,,,2014, 5.2万公里, 到店服务,急售,14,0,6.05
大众, 宝来, 2012款, 1.6L, 手动时尚超值版,,,,2013, 4.3万公里,,急售,13.7,0,4.5
雷诺, 科雷傲, 2012款, 2.5L, 四驱舒适导航版(进口),,,,2012, 8.6万公里, 到店服务,,24.3,0,7.1
奥迪Q5, 2013款,40, TFSI, 技术型,,,,2013, 7.6万公里, 到店服务,急售,9.4,0,18.23
福特, 福睿斯, 2015款, 1.5L, 自动时尚型,,,,2015, 3.7万公里, 到店服务,严选车,25.6,0,6.04
吉利, 博越, 2016款, 1.8TD, 自动四驱智尊型,,,,2016, 1.4万公里,,急售,13.9,0,10
凯迪拉克ATS-L, 2016款, 28T, 时尚型,,,,,2016, 2.7万公里,,,20.5,0,17
福特, 翼搏, 2013款, 1.5L, 自动尊贵型,,,,2013, 12.3万公里, 到店服务,急售,27.4,0,4.5
大众, 捷达, 2015款, 质惠版, 1.6L, 自动舒适型,,,2016, 5.1万公里, 到店服务,急售,17.4,0,6.05
宝马3系, 2012款, 318i领先型(进口),,,,,,2011, 7.2万公里,,,29.3,0,9
标致2008, 2014款, 1.6L, 自动潮流版,,,,,2015, 2.6万公里, 到店服务,急售,34,0,5.86
福特, 福克斯, 2012款, 两厢, 1.6L, 手动舒适型,,,2014, 5.5万公里, 到店服务,准新车,16.3,0,4.7
别克GL8, 2014款, 2.4L, 经典版,,,,,2017, 3.4万公里, 到店服务,严选车,7.9,0,13.5
荣威950, 2012款, 2.0L, 典雅版,,,,,2012, 6.1万公里,,,19.5,0,6.68
长安CS35, 2015款, 1.6L, 手动豪华型, 国IV,,,,2015, 5.6万公里, 到店服务,急售,21.4,0,4.2
现代, 名图, 2014款, 1.8L, 自动尊贵型DLX,,,,2014, 3.5万公里, 到店服务,,12.3,0,8.8
铃木, 雨燕, 2013款, 1.5L, 手动运动版,,,,2014, 4.3万公里, 到店服务,急售,4.8,0,3.5
日产, 蓝鸟, 2016款, 1.6L, CVT炫酷版,,,,2018, 2.7万公里, 到店服务,准新车严选车,15.5,0,9.68
宝骏510, 2017款, 1.5L, 手动时尚型,,,,,2018, 0.4万公里, 到店服务,,20.9,0,5.21
本田, 凌派, 2013款, 1.8L, 自动豪华版,,,,2013, 12.5万公里,,,9.7,0,6.77
标致308, 2013款, 1.6L, 手动优尚型,,,,,2013, 5.3万公里,,急售,14,0,3.8
雪铁龙C3-XR, 2015款, 1.6L, 自动智能型,,,,,2015, 8.4万公里, 到店服务,,25.4,0,6
大众, 高尔夫·嘉旅, 2016款, 1.6L, 自动舒适型,,,,2017, 4.1万公里, 到店服务,,25.6,0,9.3
别克GL8, 2014款, 2.4L, 经典版,,,,,2016, 5.0万公里, 到店服务,,31.5,0,12.8
雪佛兰, 科鲁兹, 2012款, 1.6L, SE, AT,,,2012, 2.5万公里, 到店服务,,28.2,0,5
别克, 君威, 2014款, 2.0L, 精英时尚型,,,,2014, 6.1万公里, 到店服务,,14.9,0,8.5
大众, 朗逸, 2013款, 改款经典, 1.6L, 自动风尚版,,,2014, 7.6万公里, 到店服务,,49.8,0,6.46
本田, 凌派, 2016款, 1.8L, CVT豪华版,,,,2017, 1.7万公里, 到店服务,,53.7,0,9.65
奥迪A4L, 2016款,35, TFSI, 典藏版, 自动标准型,,,2016, 6.8万公里,,,38,0,17.5
别克, 君越, 2013款, 2.4L, SIDI精英舒适型,,,,2013, 9.3万公里, 到店服务,急售,21.7,0,8.3
现代ix35, 2018款, 2.0L, 自动两驱智勇·畅享版,,,,,2018, 2.6万公里,,,34.6,0,9
标致2008, 2014款, 1.6L, 自动时尚版,,,,,2014, 4.2万公里, 到店服务,,14.3,0,5.73
别克, 威朗, 2015款, 三厢, 15S, 自动领先型,,,2016, 5.1万公里, 到店服务,,31.5,0,7.92
起亚K3, 2016款, 1.6L, 手动GL,,,,,2018, 2.9万公里, 到店服务,,31.7,0,7
大众, 夏朗, 2014款, 2.0TSI, 标配型(进口),,,,2016, 5.0万公里, 到店服务,急售,11.9,0,16
捷豹XJ, 2015款, XJL,3, SC, 典雅商务80周年典藏版,,,2015, 5.0万公里,,,34.5,0,34.5
雪铁龙C5, 2010款, 2.3L, 自动尊贵型,,,,,2011, 8.9万公里,,,38.4,0,4.5
福特, 嘉年华, 2013款, 两厢, 1.5L, 自动时尚型,,,2014, 4.5万公里, 到店服务,急售,27.8,0,4.7
哈弗H6, 2013款, 升级版, 1.5T, 手动两驱精英型,,,,2014, 2.0万公里, 到店服务,,15.1,0,4.85
MINI, 2016款, 1.2T, ONE, 先锋派,,,,2016, 4.5万公里, 到店服务,,54.5,0,15.2
大众, 帕萨特, 2016款, 330TSI, DSG御尊版,,,,2016, 2.0万公里, 到店服务,,15.8,0,16.5
起亚K5, 2015款, 2.0L, 自动GL,,,,,2017, 1.0万公里, 到店服务,,35.4,0,10.38
大众, 高尔夫, 2011款, 1.4TSI, Cross, Golf(进口),,,2014, 5.8万公里, 到店服务,急售,35,0,9.25
马自达, 昂克赛拉, 2017款, 三厢, 1.5L, 自动豪华型, 国V,,2018, 0.9万公里, 到店服务,,10.8,0,10.81
丰田, 汉兰达, 2009款, 2.7L, 两驱7座豪华版,,,,2011, 4.6万公里, 到店服务,,46.4,1,13.11
荣威RX5, 2016款, 20T, 两驱自动互联网智享版,,,,,2017, 5.3万公里, 到店服务,严选车,25.8,0,8.78
别克, 昂科拉, 2015款, 1.4T, 自动两驱都市精英型,,,,2016, 5.5万公里, 到店服务,,25.8,1,7.14
福特, 福克斯, 2013款, 三厢经典, 1.8L, 手动基本型,,,2013, 2.3万公里, 到店服务,,15.7,1,3.04
本田, 杰德, 2016款, 1.8L, 自动舒适精英版, 5座,,,2016, 8.3万公里, 到店服务,急售,13.9,0,10.48
荣威RX5, 2016款, 30T, 两驱自动互联网智享版,,,,,2017, 3.4万公里, 到店服务,,14.8,1,8.73
哈弗H7, 2016款, 蓝标H7, 2.0T, 自动豪华型,,,,2017, 2.4万公里, 到店服务,急售,19.5,0,9.58
大众, 帕萨特, 2014款, 1.8TSI, DSG尊雅版,,,,2016, 7.2万公里, 到店服务,,10.5,0,12.9
斯柯达, 明锐, 2013款, 1.6L, 手动逸杰版,,,,2013, 9.7万公里, 到店服务,急售,31.4,0,4.04
福特, 福睿斯, 2015款, 1.5L, 自动舒适型,,,,2016, 3.0万公里, 到店服务,,11.6,0,6.5
马自达, 昂克赛拉, 2017款, 三厢, 1.5L, 自动舒适型, 国V,,2019, 400公里, 到店服务,,54.1,0,10.8
现代, 悦动, 2011款, 1.6L, 手动舒适型,,,,2014, 3.1万公里, 到店服务,超值严选车,9.6,0,3.8
雪佛兰, 科鲁兹, 2013款, 1.8L, SE, AT,,,2014, 9.2万公里, 到店服务,急售准新车严选车,16.8,0,5.21
沃尔沃V40, 2013款, 2.0T, 智逸版(进口),,,,,2013, 6.3万公里, 到店服务,超值准新车严选车,15.8,0,10.98
雪佛兰, 科鲁兹, 2013款, 1.6L, SE, MT,,,2013, 6.5万公里, 到店服务,超值严选车,13.3,0,3.78
奔驰C级, 2015款, C,200, L, 运动型,,,2014, 4.2万公里, 到店服务,超值严选车,9.3,0,23.6
别克, 英朗, 2013款, GT, 1.6L, 自动时尚版,,,2013, 2.9万公里, 到店服务,急售严选车,21,0,5.76
本田CR-V, 2013款, 2.0L, 两驱经典版,,,,,2013, 7.4万公里, 到店服务,严选车,17.5,0,12.98
奥迪Q5, 2016款,40, TFSI, 技术型,,,,2016, 9.3万公里,,严选车,34.6,0,21.88
起亚, 福瑞迪, 2014款, 1.6L, MT, GLS,,,2015, 7.0万公里,,严选车,8.9,0,3.7
哈弗H6, 2014款, 运动版, 1.5T, 手动两驱精英型,,,,2014, 9.2万公里, 到店服务,严选车,13.8,0,5.32
大众, 朗逸, 2013款, 改款经典, 1.6L, 手动舒适版,,,2015, 4.7万公里, 到店服务,严选车,11.3,0,6.57
别克, 昂科拉, 2015款, 1.4T, 自动两驱都市领先型,,,,2016, 2.5万公里, 到店服务,严选车,14.1,1,7.2
斯柯达Yeti, 2014款, 1.8TSI, DSG极地版,,,,,2014, 8.3万公里, 到店服务,超值急售严选车,10.3,0,8.34
长安, 逸动, 2015款, 1.6L, 手动尊贵型, 国V,,,2016, 2.5万公里,,准新车严选车,11.2,0,5.6
别克, 昂科威, 2015款, 20T, 两驱精英型,,,,2015, 5.9万公里, 到店服务,超值严选车,16.6,0,12.25
荣威550, 2012款,550, 1.8L, 手动超值版,,,,2013, 6.6万公里, 到店服务,严选车,8.5,0,3.39
马自达, 阿特兹, 2014款, 2.0L, 蓝天豪华版,,,,2015, 4.6万公里, 到店服务,严选车,16.4,0,11.5
奔驰A级, 2013款, A,180, 时尚型(进口),,,,2013, 10.2万公里,,严选车,16.3,0,11.5
别克, 昂科拉, 2013款, 1.4T, 自动两驱精英型,,,,2013, 6.0万公里, 到店服务,超值严选车,12.6,0,5.95
奥迪A3, 2015款, Limousine,40, TFSI, 自动舒适型,,,2015, 7.5万公里, 到店服务,严选车,10.4,0,14.3
奥迪A4L, 2015款,35, TFSI, 自动标准型,,,,2015, 7.6万公里, 到店服务,严选车,13.4,0,17.3
三菱, 劲炫ASX, 2018款, 2.0L, CVT两驱尊享版,,,,2018, 2.6万公里, 到店服务,严选车,12.2,0,11.38
比亚迪, 速锐, 2012款, 1.5L, 手动豪华型,,,,2013, 4.0万公里, 到店服务,严选车,13,0,2.64
雪铁龙C5, 2017款, 350THP, 自动豪华型,,,,,2017, 3.3万公里, 到店服务,严选车,35.8,0,12
现代ix35, 2013款, 2.0L, 自动两驱智能型GLS, 国IV,,,,2014, 14.1万公里,,严选车,13.4,0,8.53
大众, 朗逸, 2013款, 改款经典, 1.6L, 手动风尚版,,,2014, 7.3万公里, 到店服务,超值严选车,12.8,0,5.5
长安, 悦翔V3, 2015款, 1.4L, 手动美满型, 国V,,,2016, 1.8万公里,,严选车,17,0,2.52
东南DX7, 2018款, Prime, 1.8T, DCT尊贵型,,,,2019, 700公里, 到店服务,超值严选车,20.6,0,10.65
福特, 蒙迪欧, 2017款, EcoBoost,180, 时尚型,,,2017, 3.0万公里, 到店服务,超值严选车,13.2,0,15
MG3, 2011款, 1.5L, AMT精英版,,,,,2012, 5.0万公里, 到店服务,超值严选车,28.9,0,3.18
哈弗H6, 2014款, 运动版, 1.5T, 手动两驱精英型,,,,2015, 9.9万公里, 到店服务,严选车,16.3,0,5.73
马自达CX-5, 2012款, 2.0L, 两驱舒适版(进口),,,,,2014, 6.6万公里, 到店服务,严选车,12.6,0,10.5
Jeep, 自由光, 2016款, 2.4L, 领先版智能包,,,,2017, 2.4万公里, 到店服务,严选车,12.5,0,14.98
奔驰GLA级, 2016款, GLA,200, 时尚型,,,,2016, 2.8万公里, 到店服务,严选车,20.6,0,19.8
大众, 途观L, 2017款, 330TSI, 自动两驱豪华版,,,,2018, 4.4万公里, 到店服务,超值严选车,21.7,0,19
别克, 英朗, 2013款, GT, 1.6L, 手动进取版,,,2015, 6.9万公里,,严选车,12.9,0,6
奔驰C级, 2015款, C,300, 运动版,,,,2016, 4.8万公里, 到店服务,超值严选车,19.4,0,29
宝马5系, 2013款, 525Li, 豪华型,,,,,2015, 5.4万公里, 到店服务,超值严选车,28.6,0,28.8
凯迪拉克XTS, 2016款, 28T, 技术型,,,,,2017, 9.9万公里,,严选车,16.3,0,18
雪佛兰, 迈锐宝, 2013款, 2.4L, 自动豪华版,,,,2013, 7.9万公里, 到店服务,超值严选车,12.1,0,7
凯迪拉克ATS-L, 2016款, 28T, 时尚型,,,,,2016, 5.8万公里, 到店服务,准新车严选车,15.2,0,16
大众, 速腾, 2012款, 1.6L, 手动时尚型,,,,2012, 8.2万公里, 到店服务,严选车,9.3,0,5.42
奔驰GLA级, 2015款, GLA,200, 时尚型,,,,2015, 2.2万公里, 到店服务,超值严选车,11.1,0,18.8
道奇, 酷威, 2013款, 2.4L, 两驱尊尚版(进口),,,,2016, 3.6万公里, 到店服务,严选车,28.1,0,13
哈弗H6, 2015款, 升级版, 1.5T, 手动两驱精英型,,,,2015, 3.4万公里, 到店服务,严选车,16.1,0,5.73
雷克萨斯NX, 2015款,200, 前驱, 锋行版,,,,2017, 5.4万公里, 到店服务,超值严选车,14.2,0,26.98
奔驰C级, 2015款, 改款, C,200, L, 运动型,,2015, 11.7万公里, 到店服务,严选车,11.2,0,23
别克, 君越, 2013款, 2.4L, SIDI精英舒适型,,,,2015, 5.8万公里, 到店服务,严选车,53.2,0,12.5
福特, 福克斯, 2017款, 三厢, 1.6L, 自动风尚型智行版,,,2017, 1.9万公里,,严选车,22,0,7.2
起亚KX3, 2015款, 1.6L, 自动两驱DLX,,,,,2016, 7.2万公里, 到店服务,严选车,13.8,1,7.4
宝马X3, 2014款, xDrive20i, X设计套装(进口),,,,,2014, 4.3万公里, 到店服务,严选车,54.2,0,25.6
哈弗H6, 2015款, 运动版, 1.5T, 自动两驱尊享型,,,,2015, 6.7万公里, 到店服务,严选车,13.9,0,7.5
奔驰C级, 2015款, C,180, L, 运动型,,,2015, 4.8万公里, 到店服务,严选车,14.9,0,22.88
大众, 甲壳虫, 2014款, 1.4TSI, R-Line(进口),,,,2016, 3.1万公里, 到店服务,超值严选车,42.9,0,15.1
现代, 悦动, 2011款, 1.6L, 手动舒适型,,,,2014, 6.4万公里,,严选车,21,0,4.17
奥迪Q5, 2016款,40, TFSI, 技术型,,,,2016, 9.8万公里, 到店服务,严选车,8.3,0,25.8
大众, 途观, 2013款, 1.8TSI, 自动两驱舒适版,,,,2013, 4.3万公里, 到店服务,超值严选车,17.2,0,11.86
大众, 途观, 2016款, 300TSI, 自动两驱舒适版,,,,2017, 1.6万公里, 到店服务,严选车,11.1,0,15.98
大众, 高尔夫, 2016款, 1.6L, 自动舒适型,,,,2016, 4.4万公里, 到店服务,超值严选车,50.8,0,9.2
现代, 朗动, 2015款, 1.6L, 自动领先型,,,,2016, 2.5万公里,,严选车,32.6,0,8.7
福特, 福克斯, 2015款, 三厢, 1.6L, 自动风尚型,,,2016, 5.7万公里, 到店服务,严选车,28.1,0,7.4
